CellID,CellStage,class,CellProtocol
x1_S3c_b1.bcIIYV,3.0,pdx1,x1
x1_S3c_b1.bcIAVA,3.0,repl,x1
x1_S3c_b1.bcHQNO,3.0,pdx1,x1
x1_S3c_b1.bcHFTN,3.0,repl,x1
x1_S3c_b1.bcHEOX,3.0,pdx1,x1
x1_S3c_b1.bcABWW,3.0,pdx1,x1
x1_S3c_b1.bcAPIY,3.0,pdx1,x1
x1_S3c_b1.bcGJVE,3.0,pdx1,x1
x1_S3c_b1.bcCEXE,3.0,pdx1,x1
x1_S3c_b1.bcASLS,3.0,pdx1,x1
x1_S3c_b1.bcHTMN,3.0,pdx1,x1
x1_S3c_b1.bcGZSX,3.0,repl,x1
x1_S3c_b1.bcEECU,3.0,pdx1,x1
x1_S3c_b1.bcALKP,3.0,repl,x1
x1_S3c_b1.bcETYB,3.0,pdx1,x1
x1_S3c_b1.bcBYFD,3.0,pdx1,x1
x1_S3c_b1.bcBEWX,3.0,repl,x1
x1_S3c_b1.bcCQWO,3.0,repl,x1
x1_S3c_b1.bcGRGB,3.0,repl,x1
x1_S3c_b1.bcDGXS,3.0,repl,x1
x1_S3c_b1.bcHQLS,3.0,pdx1,x1
x1_S3c_b1.bcAWOT,3.0,repl,x1
x1_S3c_b1.bcCNUB,3.0,pdx1,x1
x1_S3c_b1.bcDNWV,3.0,pdx1,x1
x1_S3c_b1.bcFWYH,3.0,pdx1,x1
x1_S3c_b1.bcDNVW,3.0,pdx1,x1
x1_S3c_b1.bcHHZX,3.0,repl,x1
x1_S3c_b1.bcDBVM,3.0,pdx1,x1
x1_S3c_b1.bcEYCH,3.0,repl,x1
x1_S3c_b1.bcDNBM,3.0,pdx1,x1
x1_S3c_b1.bcAPTM,3.0,pdx1,x1
x1_S3c_b1.bcBZXG,3.0,repl,x1
x1_S3c_b1.bcCLFH,3.0,pdx1,x1
x1_S3c_b1.bcAKGX,3.0,repl,x1
x1_S3c_b1.bcGCBT,3.0,pdx1,x1
x1_S3c_b1.bcDEXP,3.0,pdx1,x1
x1_S3c_b1.bcFYIY,3.0,pdx1,x1
x1_S3c_b1.bcHURC,3.0,pdx1,x1
x1_S3c_b1.bcDTED,3.0,pdx1,x1
x1_S3c_b1.bcGWDC,3.0,pdx1,x1
x1_S3c_b1.bcHYSF,3.0,pdx1,x1
x1_S3c_b1.bcDJYH,3.0,pdx1,x1
x1_S3c_b1.bcEMPY,3.0,repl,x1
x1_S3c_b1.bcBTZC,3.0,pdx1,x1
x1_S3c_b1.bcHNVK,3.0,pdx1,x1
x1_S3c_b1.bcGKFN,3.0,pdx1,x1
x1_S3c_b1.bcEYQP,3.0,pdx1,x1
x1_S3c_b1.bcESTY,3.0,pdx1,x1
x1_S3c_b1.bcDFDW,3.0,pdx1,x1
x1_S3c_b1.bcELGK,3.0,pdx1,x1
x1_S3c_b1.bcHYCI,3.0,pdx1,x1
x1_S3c_b1.bcGULJ,3.0,pdx1,x1
x1_S3c_b1.bcIDBW,3.0,pdx1,x1
x1_S3c_b1.bcEPZQ,3.0,pdx1,x1
x1_S3c_b1.bcCZVI,3.0,pdx1,x1
x1_S3c_b1.bcHCFD,3.0,pdx1,x1
x1_S3c_b1.bcGKOM,3.0,repl,x1
x1_S3c_b1.bcBFBU,3.0,pdx1,x1
x1_S3c_b1.bcATVF,3.0,pdx1,x1
x1_S3c_b1.bcDKQT,3.0,pdx1,x1
x1_S3c_b1.bcBQNR,3.0,pdx1,x1
x1_S3c_b1.bcFQHC,3.0,pdx1,x1
x1_S3c_b1.bcGUYL,3.0,repl,x1
x1_S3c_b1.bcDXHE,3.0,pdx1,x1
x1_S3c_b1.bcAJPG,3.0,pdx1,x1
x1_S3c_b1.bcFVBJ,3.0,pdx1,x1
x1_S3c_b1.bcDMHD,3.0,pdx1,x1
x1_S3c_b1.bcBOZO,3.0,pdx1,x1
x1_S3c_b1.bcATID,3.0,pdx1,x1
x1_S3c_b1.bcGHKH,3.0,pdx1,x1
x1_S3c_b1.bcFQSY,3.0,pdx1,x1
x1_S3c_b1.bcBYXK,3.0,pdx1,x1
x1_S3c_b1.bcETZN,3.0,pdx1,x1
x1_S3c_b1.bcFLFV,3.0,repl,x1
x1_S3c_b1.bcIHFN,3.0,pdx1,x1
x1_S3c_b1.bcEVGQ,3.0,pdx1,x1
x1_S3c_b1.bcGKMY,3.0,pdx1,x1
x1_S3c_b1.bcDAPU,3.0,pdx1,x1
x1_S3c_b1.bcHSWP,3.0,repl,x1
x1_S3c_b1.bcHZKR,3.0,pdx1,x1
x1_S3c_b1.bcCGIA,3.0,repl,x1
x1_S3c_b1.bcDMSD,3.0,pdx1,x1
x1_S3c_b1.bcFJKS,3.0,pdx1,x1
x1_S3c_b1.bcEQXR,3.0,repl,x1
x1_S3c_b1.bcEZJD,3.0,pdx1,x1
x1_S3c_b1.bcIESO,3.0,pdx1,x1
x1_S3c_b1.bcEYZS,3.0,repl,x1
x1_S3c_b1.bcEYLR,3.0,repl,x1
x1_S3c_b1.bcCSWS,3.0,pdx1,x1
x1_S3c_b1.bcFOQF,3.0,pdx1,x1
x1_S3c_b1.bcIHOJ,3.0,pdx1,x1
x1_S3c_b1.bcHDOK,3.0,pdx1,x1
x1_S3c_b1.bcEKTC,3.0,pdx1,x1
x1_S3c_b1.bcCRJD,3.0,pdx1,x1
x1_S3c_b1.bcABVQ,3.0,pdx1,x1
x1_S3c_b1.bcFQRS,3.0,repl,x1
x1_S3c_b1.bcIFIJ,3.0,pdx1,x1
x1_S3c_b1.bcETVE,3.0,pdx1,x1
x1_S3c_b1.bcHKCG,3.0,pdx1,x1
x1_S3c_b1.bcGDRP,3.0,pdx1,x1
x1_S3c_b1.bcCZTN,3.0,repl,x1
x1_S3c_b1.bcGRNR,3.0,repl,x1
x1_S3c_b1.bcCULQ,3.0,pdx1,x1
x1_S3c_b1.bcENRI,3.0,pdx1,x1
x1_S3c_b1.bcGGNZ,3.0,pdx1,x1
x1_S3c_b1.bcCTUN,3.0,pdx1,x1
x1_S3c_b1.bcCFDU,3.0,pdx1,x1
x1_S3c_b1.bcHDVL,3.0,repl,x1
x1_S3c_b1.bcDBRD,3.0,pdx1,x1
x1_S3c_b1.bcGKRW,3.0,pdx1,x1
x1_S3c_b1.bcASRT,3.0,pdx1,x1
x1_S3c_b1.bcAKYK,3.0,pdx1,x1
x1_S3c_b1.bcHZWI,3.0,pdx1,x1
x1_S3c_b1.bcHUQE,3.0,pdx1,x1
x1_S3c_b1.bcEFNV,3.0,repl,x1
x1_S3c_b1.bcBOUH,3.0,pdx1,x1
x1_S3c_b1.bcBMKN,3.0,pdx1,x1
x1_S3c_b1.bcBYRG,3.0,repl,x1
x1_S3c_b1.bcBSWL,3.0,pdx1,x1
x1_S3c_b1.bcBTIC,3.0,pdx1,x1
x1_S3c_b1.bcFWNW,3.0,pdx1,x1
x1_S3c_b1.bcGULK,3.0,pdx1,x1
x1_S3c_b1.bcBHZF,3.0,pdx1,x1
x1_S3c_b1.bcHPUZ,3.0,repl,x1
x1_S3c_b1.bcHPPN,3.0,pdx1,x1
x1_S3c_b1.bcGMPK,3.0,pdx1,x1
x1_S3c_b1.bcDLSU,3.0,pdx1,x1
x1_S3c_b1.bcHBLD,3.0,repl,x1
x1_S3c_b1.bcFFZZ,3.0,pdx1,x1
x1_S3c_b1.bcGWWJ,3.0,pdx1,x1
x1_S3c_b1.bcFMNY,3.0,pdx1,x1
x1_S3c_b1.bcCOUC,3.0,repl,x1
x1_S3c_b1.bcCVOY,3.0,pdx1,x1
x1_S3c_b1.bcCBDZ,3.0,repl,x1
x1_S3c_b1.bcGMPU,3.0,repl,x1
x1_S3c_b1.bcGNAN,3.0,pdx1,x1
x1_S3c_b1.bcDBDX,3.0,pdx1,x1
x1_S3c_b1.bcCXTP,3.0,pdx1,x1
x1_S3c_b1.bcCRMF,3.0,pdx1,x1
x1_S3c_b1.bcEOQZ,3.0,pdx1,x1
x1_S3c_b1.bcHFWT,3.0,pdx1,x1
x1_S3c_b1.bcCOHY,3.0,repl,x1
x1_S3c_b1.bcGVFI,3.0,pdx1,x1
x1_S3c_b1.bcFKZI,3.0,pdx1,x1
x1_S3c_b1.bcFNNP,3.0,pdx1,x1
x1_S3c_b1.bcBEFK,3.0,repl,x1
x1_S3c_b1.bcAOSL,3.0,pdx1,x1
x1_S3c_b1.bcDSJB,3.0,pdx1,x1
x1_S3c_b1.bcCJIC,3.0,pdx1,x1
x1_S3c_b1.bcBGDU,3.0,repl,x1
x1_S3c_b1.bcHMTU,3.0,pdx1,x1
x1_S3c_b1.bcEHLF,3.0,pdx1,x1
x1_S3c_b1.bcDVMT,3.0,pdx1,x1
x1_S3c_b1.bcFJXU,3.0,pdx1,x1
x1_S3c_b1.bcEIJE,3.0,repl,x1
x1_S3c_b1.bcAASS,3.0,repl,x1
x1_S3c_b1.bcFYFT,3.0,pdx1,x1
x1_S3c_b1.bcFKNZ,3.0,repl,x1
x1_S3c_b1.bcAYQD,3.0,repl,x1
x1_S3c_b1.bcDFQF,3.0,pdx1,x1
x1_S3c_b1.bcEXCH,3.0,pdx1,x1
x1_S3c_b1.bcFCGI,3.0,repl,x1
x1_S3c_b1.bcFAPG,3.0,pdx1,x1
x1_S3c_b1.bcGGIV,3.0,pdx1,x1
x1_S3c_b1.bcGQRZ,3.0,pdx1,x1
x1_S3c_b1.bcEVDK,3.0,pdx1,x1
x1_S3c_b1.bcETGR,3.0,pdx1,x1
x1_S3c_b1.bcAHFI,3.0,repl,x1
x1_S3c_b1.bcCWEO,3.0,pdx1,x1
x1_S3c_b1.bcACCL,3.0,pdx1,x1
x1_S3c_b1.bcFFFX,3.0,pdx1,x1
x1_S3c_b1.bcFYVF,3.0,pdx1,x1
x1_S3c_b1.bcCTKV,3.0,repl,x1
x1_S3c_b1.bcDLOL,3.0,pdx1,x1
x1_S3c_b1.bcBFDR,3.0,pdx1,x1
x1_S3c_b1.bcGYMR,3.0,pdx1,x1
x1_S3c_b1.bcCZHS,3.0,repl,x1
x1_S3c_b1.bcHWTS,3.0,repl,x1
x1_S3c_b1.bcDWSE,3.0,pdx1,x1
x1_S3c_b1.bcBFWR,3.0,pdx1,x1
x1_S3c_b1.bcFPSL,3.0,pdx1,x1
x1_S3c_b1.bcIHWJ,3.0,pdx1,x1
x1_S3c_b1.bcCIBO,3.0,repl,x1
x1_S3c_b1.bcDEHR,3.0,repl,x1
x1_S3c_b1.bcHCVG,3.0,pdx1,x1
x1_S3c_b1.bcDRVZ,3.0,pdx1,x1
x1_S3c_b1.bcFKRX,3.0,repl,x1
x1_S3c_b1.bcDRNT,3.0,pdx1,x1
x1_S3c_b1.bcAYMG,3.0,pdx1,x1
x1_S3c_b1.bcCFRN,3.0,pdx1,x1
x1_S3c_b1.bcFJSR,3.0,pdx1,x1
x1_S3c_b1.bcDVTC,3.0,repl,x1
x1_S3c_b1.bcCHBM,3.0,repl,x1
x1_S3c_b1.bcGGRC,3.0,pdx1,x1
x1_S3c_b1.bcHBVZ,3.0,pdx1,x1
x1_S3c_b1.bcHWIC,3.0,repl,x1
x1_S3c_b1.bcEHQQ,3.0,pdx1,x1
x1_S3c_b1.bcGYOG,3.0,repl,x1
x1_S3c_b1.bcGNAF,3.0,pdx1,x1
x1_S3c_b1.bcEHRW,3.0,pdx1,x1
x1_S3c_b1.bcEYPS,3.0,pdx1,x1
x1_S3c_b1.bcDVOX,3.0,pdx1,x1
x1_S3c_b1.bcCSQC,3.0,pdx1,x1
x1_S3c_b1.bcFVMH,3.0,pdx1,x1
x1_S3c_b1.bcFQSK,3.0,pdx1,x1
x1_S3c_b1.bcBNXV,3.0,pdx1,x1
x1_S3c_b1.bcHPNV,3.0,repl,x1
x1_S3c_b1.bcHZCK,3.0,pdx1,x1
x1_S3c_b1.bcBCDI,3.0,pdx1,x1
x1_S3c_b1.bcFDUS,3.0,pdx1,x1
x1_S3c_b1.bcFUTP,3.0,repl,x1
x1_S3c_b1.bcDFVH,3.0,pdx1,x1
x1_S3c_b1.bcCGZT,3.0,pdx1,x1
x1_S3c_b1.bcBLXB,3.0,pdx1,x1
x1_S3c_b1.bcBBAM,3.0,pdx1,x1
x1_S3c_b1.bcGTVR,3.0,pdx1,x1
x1_S3c_b1.bcBGLH,3.0,pdx1,x1
x1_S3c_b1.bcDCIO,3.0,repl,x1
x1_S3c_b1.bcFGGI,3.0,repl,x1
x1_S3c_b1.bcDNUM,3.0,pdx1,x1
x1_S3c_b1.bcDGCU,3.0,pdx1,x1
x1_S3c_b1.bcCIUC,3.0,pdx1,x1
x1_S3c_b1.bcIJHK,3.0,repl,x1
x1_S3c_b1.bcGCFD,3.0,repl,x1
x1_S3c_b1.bcHRHM,3.0,pdx1,x1
x1_S3c_b1.bcHOOR,3.0,pdx1,x1
x1_S3c_b1.bcFZCY,3.0,pdx1,x1
x1_S3c_b1.bcCBHJ,3.0,pdx1,x1
x1_S3c_b1.bcCTNK,3.0,pdx1,x1
x1_S3c_b1.bcEMHN,3.0,pdx1,x1
x1_S3c_b1.bcEXHK,3.0,repl,x1
x1_S3c_b1.bcDLDV,3.0,pdx1,x1
x1_S3c_b1.bcAATQ,3.0,repl,x1
x1_S3c_b1.bcICXH,3.0,pdx1,x1
x1_S3c_b1.bcDEJK,3.0,pdx1,x1
x1_S3c_b1.bcHMFO,3.0,pdx1,x1
x1_S3c_b1.bcFOEU,3.0,pdx1,x1
x1_S3c_b1.bcCRHD,3.0,pdx1,x1
x1_S3c_b1.bcEJGW,3.0,pdx1,x1
x1_S3c_b1.bcANLL,3.0,pdx1,x1
x1_S3c_b1.bcBLUM,3.0,pdx1,x1
x1_S3c_b1.bcFZBY,3.0,repl,x1
x1_S3c_b1.bcFPPA,3.0,pdx1,x1
x1_S3c_b1.bcEIUK,3.0,pdx1,x1
x1_S3c_b1.bcDFCW,3.0,repl,x1
x1_S3c_b1.bcFORK,3.0,pdx1,x1
x1_S3c_b1.bcDPCB,3.0,repl,x1
x1_S3c_b1.bcFDUR,3.0,pdx1,x1
x1_S3c_b1.bcEFSY,3.0,repl,x1
x1_S3c_b1.bcFYUN,3.0,pdx1,x1
x1_S3c_b1.bcAVDM,3.0,pdx1,x1
x1_S3c_b1.bcIHAF,3.0,pdx1,x1
x1_S3c_b1.bcGOVM,3.0,repl,x1
x1_S3c_b1.bcDFOC,3.0,pdx1,x1
x1_S3c_b1.bcECCW,3.0,pdx1,x1
x1_S3c_b1.bcBLXV,3.0,repl,x1
x1_S3c_b1.bcEXCU,3.0,pdx1,x1
x1_S3c_b1.bcFKTO,3.0,pdx1,x1
x1_S3c_b1.bcHADW,3.0,pdx1,x1
x1_S3c_b1.bcDBAR,3.0,pdx1,x1
x1_S3c_b1.bcCEES,3.0,pdx1,x1
x1_S3c_b1.bcBXEZ,3.0,pdx1,x1
x1_S3c_b1.bcHUQA,3.0,repl,x1
x1_S3c_b1.bcHQLN,3.0,pdx1,x1
x1_S3c_b1.bcDFOD,3.0,repl,x1
x1_S3c_b1.bcCQQT,3.0,pdx1,x1
x1_S3c_b1.bcEVWZ,3.0,pdx1,x1
x1_S3c_b1.bcHPNY,3.0,pdx1,x1
x1_S3c_b1.bcEOTQ,3.0,pdx1,x1
x1_S3c_b1.bcELKE,3.0,pdx1,x1
x1_S3c_b1.bcCEIK,3.0,pdx1,x1
x1_S3c_b1.bcCZRV,3.0,pdx1,x1
x1_S3c_b1.bcFQHI,3.0,pdx1,x1
x1_S3c_b1.bcCBFJ,3.0,repl,x1
x1_S3c_b1.bcFTHX,3.0,repl,x1
x1_S3c_b1.bcIFBL,3.0,pdx1,x1
x1_S3c_b1.bcHODT,3.0,pdx1,x1
x1_S3c_b1.bcDKJH,3.0,pdx1,x1
x1_S3c_b1.bcFJXL,3.0,repl,x1
x1_S3c_b1.bcCALH,3.0,pdx1,x1
x1_S3c_b1.bcAANV,3.0,pdx1,x1
x1_S3c_b1.bcAKVV,3.0,pdx1,x1
x1_S3c_b1.bcHFWO,3.0,pdx1,x1
x1_S3c_b1.bcHZXI,3.0,pdx1,x1
x1_S3c_b1.bcEIXY,3.0,pdx1,x1
x1_S3c_b1.bcCVHW,3.0,pdx1,x1
x1_S3c_b1.bcGIDY,3.0,pdx1,x1
x1_S3c_b1.bcAIGK,3.0,repl,x1
x1_S3c_b1.bcIDYT,3.0,pdx1,x1
x1_S3c_b1.bcFAMK,3.0,repl,x1
x1_S3c_b1.bcFUYN,3.0,pdx1,x1
x1_S3c_b1.bcGDZV,3.0,pdx1,x1
x1_S3c_b1.bcADSZ,3.0,pdx1,x1
x1_S3c_b1.bcEHFJ,3.0,pdx1,x1
x1_S3c_b1.bcCHBP,3.0,repl,x1
x1_S3c_b1.bcGNJK,3.0,pdx1,x1
x1_S3c_b1.bcHZLA,3.0,pdx1,x1
x1_S3c_b1.bcFZEI,3.0,pdx1,x1
x1_S3c_b1.bcGAON,3.0,pdx1,x1
x1_S3c_b1.bcCKML,3.0,pdx1,x1
x1_S3c_b1.bcFZMK,3.0,repl,x1
x1_S3c_b1.bcEIWK,3.0,repl,x1
x1_S3c_b1.bcFQJV,3.0,repl,x1
x1_S3c_b1.bcAQZR,3.0,pdx1,x1
x1_S3c_b1.bcCWSA,3.0,pdx1,x1
x1_S3c_b1.bcHVWV,3.0,pdx1,x1
x1_S3c_b1.bcDNVE,3.0,pdx1,x1
x1_S3c_b1.bcIJNT,3.0,repl,x1
x1_S3c_b1.bcCJRB,3.0,repl,x1
x1_S3c_b1.bcBBFV,3.0,pdx1,x1
x1_S3c_b1.bcCFRA,3.0,pdx1,x1
x1_S3c_b1.bcEGLU,3.0,pdx1,x1
x1_S3c_b1.bcDBAS,3.0,pdx1,x1
x1_S3c_b1.bcGXCW,3.0,pdx1,x1
x1_S3c_b1.bcHWCD,3.0,pdx1,x1
x1_S3c_b1.bcEKTY,3.0,pdx1,x1
x1_S3c_b1.bcEGEG,3.0,pdx1,x1
x1_S3c_b1.bcCQBV,3.0,pdx1,x1
x1_S3c_b1.bcGAQK,3.0,pdx1,x1
x1_S3c_b1.bcFRSV,3.0,pdx1,x1
x1_S3c_b1.bcFKMN,3.0,pdx1,x1
x1_S3c_b1.bcALFF,3.0,repl,x1
x1_S3c_b1.bcFZKX,3.0,pdx1,x1
x1_S3c_b1.bcDQOT,3.0,pdx1,x1
x1_S3c_b1.bcAGVO,3.0,repl,x1
x1_S3c_b1.bcGPYS,3.0,pdx1,x1
x1_S3c_b1.bcEKDO,3.0,pdx1,x1
x1_S3c_b1.bcIHVO,3.0,repl,x1
x1_S3c_b1.bcCTNQ,3.0,pdx1,x1
x1_S3c_b1.bcGUZQ,3.0,pdx1,x1
x1_S3c_b1.bcGEIT,3.0,repl,x1
x1_S3c_b1.bcBBAX,3.0,pdx1,x1
x1_S3c_b1.bcGNKH,3.0,repl,x1
x1_S3c_b1.bcDPYY,3.0,pdx1,x1
x1_S3c_b1.bcFMOP,3.0,pdx1,x1
x1_S3c_b1.bcHPDV,3.0,pdx1,x1
x1_S3c_b1.bcBIJQ,3.0,pdx1,x1
x1_S3c_b1.bcHCNI,3.0,repl,x1
x1_S3c_b1.bcGZCY,3.0,pdx1,x1
x1_S3c_b1.bcCTOP,3.0,pdx1,x1
x1_S3c_b1.bcGVPA,3.0,pdx1,x1
x1_S3c_b1.bcHTBF,3.0,pdx1,x1
x1_S3c_b1.bcCLWQ,3.0,repl,x1
x1_S3c_b1.bcCCTJ,3.0,pdx1,x1
x1_S3c_b1.bcFCRG,3.0,pdx1,x1
x1_S3c_b1.bcGUBN,3.0,pdx1,x1
x1_S3c_b1.bcDRLO,3.0,repl,x1
x1_S3c_b1.bcFVRD,3.0,repl,x1
x1_S3c_b1.bcANAO,3.0,pdx1,x1
x1_S3c_b1.bcEURW,3.0,pdx1,x1
x1_S3c_b1.bcCAFZ,3.0,pdx1,x1
x1_S3c_b1.bcHRAE,3.0,repl,x1
x1_S3c_b1.bcHVXP,3.0,pdx1,x1
x1_S3c_b1.bcBCRZ,3.0,repl,x1
x1_S3c_b1.bcEXSQ,3.0,pdx1,x1
x1_S3c_b1.bcBOBO,3.0,pdx1,x1
x1_S3c_b1.bcAQQD,3.0,repl,x1
x1_S3c_b1.bcBCEX,3.0,pdx1,x1
x1_S3c_b1.bcAZIC,3.0,pdx1,x1
x1_S3c_b1.bcBKKD,3.0,repl,x1
x1_S3c_b1.bcAWFI,3.0,repl,x1
x1_S3c_b1.bcFIBW,3.0,pdx1,x1
x1_S3c_b1.bcAIIV,3.0,pdx1,x1
x1_S3c_b1.bcDMMN,3.0,pdx1,x1
x1_S3c_b1.bcGUUE,3.0,pdx1,x1
x1_S3c_b1.bcFQRB,3.0,repl,x1
x1_S3c_b1.bcHDBS,3.0,repl,x1
x1_S3c_b1.bcFYDT,3.0,pdx1,x1
x1_S3c_b1.bcGXVQ,3.0,repl,x1
x1_S3c_b1.bcESJQ,3.0,pdx1,x1
x1_S3c_b1.bcGDWY,3.0,pdx1,x1
x1_S3c_b1.bcGFDR,3.0,pdx1,x1
x1_S3c_b1.bcEAQN,3.0,pdx1,x1
x1_S3c_b1.bcEQSU,3.0,repl,x1
x1_S3c_b1.bcDYQG,3.0,pdx1,x1
x1_S3c_b1.bcELXR,3.0,pdx1,x1
x1_S3c_b1.bcEHCZ,3.0,pdx1,x1
x1_S3c_b1.bcHQIB,3.0,repl,x1
x1_S3c_b1.bcBVLT,3.0,pdx1,x1
x1_S3c_b1.bcGFGP,3.0,pdx1,x1
x1_S3c_b1.bcERXN,3.0,pdx1,x1
x1_S3c_b1.bcEKGT,3.0,pdx1,x1
x1_S3c_b1.bcCIXM,3.0,repl,x1
x1_S3c_b1.bcDHEW,3.0,pdx1,x1
x1_S3c_b1.bcHSLA,3.0,pdx1,x1
x1_S3c_b1.bcFCIK,3.0,pdx1,x1
x1_S3c_b1.bcAXJO,3.0,pdx1,x1
x1_S3c_b1.bcBCNP,3.0,pdx1,x1
x1_S3c_b1.bcARMK,3.0,pdx1,x1
x1_S3c_b1.bcCDYU,3.0,pdx1,x1
x1_S3c_b1.bcHBBW,3.0,pdx1,x1
x1_S3c_b1.bcBXZO,3.0,pdx1,x1
x1_S3c_b1.bcDBVV,3.0,pdx1,x1
x1_S3c_b1.bcIHMU,3.0,pdx1,x1
x1_S3c_b1.bcCQOS,3.0,pdx1,x1
x1_S3c_b1.bcDAFB,3.0,repl,x1
x1_S3c_b1.bcGGZN,3.0,pdx1,x1
x1_S3c_b1.bcAPRD,3.0,pdx1,x1
x1_S3c_b1.bcIGFW,3.0,pdx1,x1
x1_S3c_b1.bcBXRR,3.0,repl,x1
x1_S3c_b1.bcDJCH,3.0,pdx1,x1
x1_S3c_b1.bcEUOS,3.0,pdx1,x1
x1_S3c_b1.bcEHVA,3.0,pdx1,x1
x1_S3c_b1.bcGSNG,3.0,pdx1,x1
x1_S3c_b1.bcHRYP,3.0,pdx1,x1
x1_S3c_b1.bcDECN,3.0,pdx1,x1
x1_S3c_b1.bcBGDZ,3.0,pdx1,x1
x1_S3c_b1.bcBJTM,3.0,pdx1,x1
x1_S3c_b1.bcFQDU,3.0,pdx1,x1
x1_S3c_b1.bcEJKK,3.0,pdx1,x1
x1_S3c_b1.bcDKXL,3.0,pdx1,x1
x1_S3c_b1.bcFMBW,3.0,pdx1,x1
x1_S3c_b1.bcERYQ,3.0,pdx1,x1
x1_S3c_b1.bcEKEY,3.0,pdx1,x1
x1_S3c_b1.bcCQSO,3.0,pdx1,x1
x1_S3c_b1.bcHRER,3.0,repl,x1
x1_S3c_b1.bcFXEZ,3.0,pdx1,x1
x1_S3c_b1.bcFTIV,3.0,pdx1,x1
x1_S3c_b1.bcGOXX,3.0,repl,x1
x1_S3c_b1.bcFYUX,3.0,pdx1,x1
x1_S3c_b1.bcATVB,3.0,pdx1,x1
x1_S3c_b1.bcGNIN,3.0,pdx1,x1
x1_S3c_b1.bcDMBO,3.0,pdx1,x1
x1_S3c_b1.bcFPDX,3.0,pdx1,x1
x1_S3c_b1.bcETBT,3.0,repl,x1
x1_S3c_b1.bcAFSJ,3.0,pdx1,x1
x1_S3c_b1.bcFRNK,3.0,pdx1,x1
x1_S3c_b1.bcEZZS,3.0,pdx1,x1
x1_S3c_b1.bcFCXM,3.0,pdx1,x1
x1_S3c_b1.bcFHTK,3.0,repl,x1
x1_S3c_b1.bcGVOS,3.0,pdx1,x1
x1_S3c_b1.bcHNSL,3.0,repl,x1
x1_S3c_b1.bcDFNF,3.0,pdx1,x1
x1_S3c_b1.bcFNME,3.0,pdx1,x1
x1_S3c_b1.bcGJWG,3.0,pdx1,x1
x1_S3c_b1.bcDDQG,3.0,pdx1,x1
x1_S3c_b1.bcASPP,3.0,pdx1,x1
x1_S3c_b1.bcCEDS,3.0,repl,x1
x1_S3c_b1.bcEDLO,3.0,pdx1,x1
x1_S3c_b1.bcDZFQ,3.0,pdx1,x1
x1_S3c_b1.bcHWIB,3.0,pdx1,x1
x1_S3c_b1.bcEMHP,3.0,pdx1,x1
x1_S3c_b1.bcHJOZ,3.0,pdx1,x1
x1_S3c_b1.bcEQQY,3.0,repl,x1
x1_S3c_b1.bcAZKD,3.0,pdx1,x1
x1_S3c_b1.bcEBLO,3.0,pdx1,x1
x1_S3c_b1.bcDJTE,3.0,repl,x1
x1_S3c_b1.bcFLLL,3.0,pdx1,x1
x1_S3c_b1.bcHZZZ,3.0,pdx1,x1
x1_S3c_b1.bcFPEZ,3.0,pdx1,x1
x1_S3c_b1.bcABIH,3.0,repl,x1
x1_S3c_b1.bcGRRK,3.0,pdx1,x1
x1_S3c_b1.bcGCPS,3.0,pdx1,x1
x1_S3c_b1.bcCOWB,3.0,pdx1,x1
x1_S3c_b1.bcEVMB,3.0,pdx1,x1
x1_S3c_b1.bcHGYW,3.0,pdx1,x1
x1_S3c_b1.bcGXJH,3.0,pdx1,x1
x1_S3c_b1.bcDBCC,3.0,repl,x1
x1_S3c_b1.bcGEQW,3.0,repl,x1
x1_S3c_b1.bcDIWO,3.0,pdx1,x1
x1_S3c_b1.bcFKHG,3.0,pdx1,x1
x1_S3c_b1.bcFSPU,3.0,repl,x1
x1_S3c_b1.bcCWQA,3.0,repl,x1
x1_S3c_b1.bcHBAL,3.0,pdx1,x1
x1_S3c_b1.bcDGAO,3.0,pdx1,x1
x1_S3c_b1.bcGNHM,3.0,pdx1,x1
x1_S3c_b1.bcGKHX,3.0,pdx1,x1
x1_S3c_b1.bcFNYQ,3.0,repl,x1
x1_S3c_b1.bcHBDP,3.0,pdx1,x1
x1_S3c_b1.bcIBLC,3.0,pdx1,x1
x1_S3c_b1.bcFRYM,3.0,pdx1,x1
x1_S3c_b1.bcCTRO,3.0,pdx1,x1
x1_S3c_b1.bcASUE,3.0,pdx1,x1
x1_S3c_b1.bcEKKY,3.0,pdx1,x1
x1_S3c_b1.bcDYTO,3.0,repl,x1
x1_S3c_b1.bcGNDT,3.0,repl,x1
x1_S3c_b1.bcGJUY,3.0,pdx1,x1
x1_S3c_b1.bcBZBX,3.0,pdx1,x1
x1_S3c_b1.bcAYVT,3.0,pdx1,x1
x1_S3c_b1.bcEILF,3.0,pdx1,x1
x1_S3c_b1.bcBNTO,3.0,pdx1,x1
x1_S3c_b1.bcDNDV,3.0,pdx1,x1
x1_S3c_b1.bcBGMY,3.0,pdx1,x1
x1_S3c_b1.bcDQXF,3.0,repl,x1
x1_S3c_b1.bcGAWH,3.0,repl,x1
x1_S3c_b1.bcEUZN,3.0,repl,x1
x1_S3c_b1.bcAWXI,3.0,pdx1,x1
x1_S3c_b1.bcHGLE,3.0,pdx1,x1
x1_S3c_b1.bcGHCD,3.0,pdx1,x1
x1_S3c_b1.bcAIML,3.0,pdx1,x1
